pop1,pos,pp
0.0,0,0.0004036987735223442
0.0,1,4.279558754717655e-05
0.0,2,9.698053405016681e-05
0.0,3,0.0003864135651953324
0.0,4,7.037859102821882e-05
0.0,5,0.004147141844049969
0.0,6,0.004469968503507965
0.0,7,0.00034855993134131616
0.0,8,0.011429897023766589
0.0,9,0.029234332143421023
0.0,10,0.028205773411793335
0.0,11,0.00012533838460482665
0.0,12,0.029594044442675313
0.0,13,0.02618461709504154
0.0,14,0.0002266840225058124
0.0,15,0.005916861376828855
0.0,16,0.000995393090057657
0.0,17,0.6595048531151653
0.0,18,0.9983075856814528
0.0,19,0.9934617103873461
0.0,20,0.46835199419435997
0.0,21,0.7116456463688878
0.0,22,0.45338450897158716
0.0,23,0.3957894253472529
0.0,24,9.280468550373632e-05
0.0,25,0.28896379248552384
0.0,26,0.95909272601522
0.0,27,0.9590161764509989
0.0,28,0.4207190879551437
0.0,29,0.0008985152138486196
0.0,30,0.10681373197993797
0.0,31,0.02891937910259661
0.0,32,0.598484685756142
0.0,33,0.5808447386218674
0.0,34,0.04286412120299577
0.0,35,0.3905090496729719
0.0,36,0.4456187549456887
0.0,37,0.4251471047982486
0.0,38,0.1369518769086417
0.0,39,0.5212159132631071
0.0,40,0.5215890717577834
0.0,41,0.38815772387605735
0.0,42,0.00038611799266089554
0.0,43,0.001243494486571588
0.0,44,0.001645628306305481
0.0,45,0.0010398836913186383
0.0,46,0.0003975037519512103
0.0,47,3.655311037561942e-05
0.0,48,5.972181033755037e-05
0.0,49,0.0008030783203158867
0.0,50,0.0014802655871061527
0.0,51,0.0008306795419548747
0.0,52,7.518810721032482e-05
0.0,53,0.00028976915761347056
0.0,54,0.00012337865987320328
0.0,55,7.599653037410856e-05
0.0,56,0.0036678701105209805
0.0,57,0.0064044741714501495
0.0,58,0.0008356355238742072
0.0,59,0.010797146174581194
0.0,60,0.024738546607996213
0.0,61,0.015262638829179059
0.0,62,0.0015921292521272595
0.0,63,7.450041110963767e-05
0.0,64,0.00022486868832612562
0.0,65,0.005496584838457274
0.0,66,0.020081564077678322
0.0,67,0.008159667818158427
0.0,68,0.006405187346970237
0.0,69,0.675148973798914
0.0,70,0.9549820928458241
0.0,71,0.9999724061519484
0.0,72,0.9999971199898519
0.0,73,0.9998687968912494
0.0,74,0.9996758671527444
0.0,75,0.999826466780307
0.0,76,0.9998888480196807
0.0,77,0.9999913471526466
0.0,78,0.9998264608699532
0.0,79,0.9997992103203031
0.0,80,0.9999912769319306
0.0,81,0.9999206772852206
0.0,82,0.9999937844895527
0.0,83,0.999941693140722
0.0,84,0.9999913715510651
0.0,85,0.9998320202759391
0.0,86,0.9998056382377369
0.0,87,0.9999935105764427
0.0,88,0.9998738824722553
0.0,89,0.9998021257049006
0.0,90,0.9999913711188143
0.0,91,0.9999232406511305
0.0,92,0.9999955429524288
0.0,93,0.9999980253899676
0.0,94,0.9999980249415613
0.0,95,0.9999973511780696
0.0,96,0.9999789562139585
0.0,97,0.9986676760412192
0.0,98,0.8203500133493223
0.0,99,2.7795603239795804e-09
0.0,100,1.708215914938906e-09
0.0,101,5.425962904476182e-07
0.0,102,0.00013776429687609894
0.0,103,0.8202045099681959
0.0,104,0.9986748728663545
0.0,105,0.9999789624317863
0.0,106,0.9999973503774222
0.0,107,0.9999980246793152
0.0,108,0.9999980251277143
0.0,109,0.9999955428846888
0.0,110,0.9999232406511305
0.0,111,0.999991362145477
0.0,112,0.9998021292974966
0.0,113,0.9998738984737866
0.0,114,0.9999934999556636
0.0,115,0.9998056351424957
0.0,116,0.9998320233711804
0.0,117,0.9999913697409704
0.0,118,0.9999416978907115
0.0,119,0.999993781549765
0.0,120,0.9999206772854535
0.0,121,0.9999912769318235
0.0,122,0.9997992070634132
0.0,123,0.9998264641265162
0.0,124,0.9999913424069323
0.0,125,0.9998888527683817
0.0,126,0.9998264668510164
0.0,127,0.9996758721281991
0.0,128,0.9998688394478854
0.0,129,0.9999970544307553
0.0,130,0.9999727943320516
0.0,131,0.9564360309723374
0.0,132,0.6721562991470932
0.0,133,0.004924765462848071
0.0,134,0.042614776906164595
0.0,135,0.08965114471921763
0.0,136,0.036323683604093875
0.0,137,0.01601240926514141
0.0,138,0.00036079252974834087
0.0,139,0.007562369115582847
0.0,140,0.008235750412193191
0.0,141,0.06582516556388521
0.0,142,0.1679585052869169
0.0,143,0.06850199996639829
0.0,144,0.012967412861062065
0.0,145,0.013849140885837366
0.0,146,0.0005479596996854834
0.0,147,0.004080220460963033
0.2,0,0.0031981753291603046
0.2,1,0.004375856812385438
0.2,2,0.020793390839123214
0.2,3,0.023756475492166133
0.2,4,0.021410295856365343
0.2,5,0.013309686370136386
0.2,6,0.12496992480420341
0.2,7,0.07892401115229282
0.2,8,0.052382848965357234
0.2,9,0.07337785382753405
0.2,10,0.03476335652750195
0.2,11,0.0010705399013562265
0.2,12,0.07960906242489939
0.2,13,0.08818156949146604
0.2,14,0.06452571536359218
0.2,15,0.08703823599160133
0.2,16,0.0875692858679992
0.2,17,0.6958045093103954
0.2,18,0.9975616610884783
0.2,19,0.9945459373278508
0.2,20,0.5353364622175499
0.2,21,0.6978976552813027
0.2,22,0.3873383548944181
0.2,23,0.3393878426967025
0.2,24,0.0011776786220341353
0.2,25,0.34548259242315293
0.2,26,0.9482347514732622
0.2,27,0.9387854297431224
0.2,28,0.496337402340133
0.2,29,0.0028658344082408936
0.2,30,0.1323268731473765
0.2,31,0.06689007311219546
0.2,32,0.5287515033542451
0.2,33,0.46940839919042693
0.2,34,0.038552797377817506
0.2,35,0.49276226510690513
0.2,36,0.5672064294992639
0.2,37,0.5672293330387125
0.2,38,0.3224582942066083
0.2,39,0.6388089426521685
0.2,40,0.6401620123896662
0.2,41,0.5246494439569707
0.2,42,0.19483719279023956
0.2,43,0.19209222828926825
0.2,44,0.1981962445126404
0.2,45,0.19840099827513993
0.2,46,0.19409451485440848
0.2,47,0.18801935039640083
0.2,48,0.19060832696678331
0.2,49,0.19088566373717733
0.2,50,0.22564903852857057
0.2,51,0.22382582974151644
0.2,52,0.1888815855511076
0.2,53,0.18917454931721336
0.2,54,0.1908135638008664
0.2,55,0.1904054157102152
0.2,56,0.19830337137719134
0.2,57,0.2044219341985095
0.2,58,0.19695891694254358
0.2,59,0.20688418190438473
0.2,60,0.21684261115960007
0.2,61,0.20582037859753552
0.2,62,0.19799369225232796
0.2,63,0.1812369466067049
0.2,64,0.1279664015543053
0.2,65,0.0048043106884891485
0.2,66,0.017072978210606608
0.2,67,0.0074635883164394365
0.2,68,0.006368360254634961
0.2,69,0.676030970406002
0.2,70,0.9533271975532495
0.2,71,0.999891039831666
0.2,72,0.9999828348164792
0.2,73,0.9992560117478763
0.2,74,0.9980865049198935
0.2,75,0.9989562385390716
0.2,76,0.9993810605210581
0.2,77,0.9999509625581584
0.2,78,0.9990329647755076
0.2,79,0.9988614210577141
0.2,80,0.9999493561549678
0.2,81,0.9995749491011852
0.2,82,0.9999661198677127
0.2,83,0.9996938239455092
0.2,84,0.9999517990453708
0.2,85,0.9990372715234411
0.2,86,0.9988667104048844
0.2,87,0.9999581177802147
0.2,88,0.9992850569818278
0.2,89,0.9988649062088518
0.2,90,0.9999518162843161
0.2,91,0.999578875972619
0.2,92,0.9999767143799277
0.2,93,0.9999899095659627
0.2,94,0.9999898827669279
0.2,95,0.999978678780861
0.2,96,0.9980405943723316
0.2,97,0.9774402783140216
0.2,98,0.8215758409686973
0.2,99,0.00038812793120921563
0.2,100,0.0005536451728721933
0.2,101,0.0009810441150984088
0.2,102,0.0021888318628863626
0.2,103,0.6753936452433075
0.2,104,0.802020174695656
0.2,105,0.8188047946574779
0.2,106,0.8165762830807541
0.2,107,0.8201019306931908
0.2,108,0.8202010567162051
0.2,109,0.8185802084735705
0.2,110,0.8130678000171232
0.2,111,0.8146699432680269
0.2,112,0.8161354166357994
0.2,113,0.8183509197411004
0.2,114,0.8166083322357529
0.2,115,0.8120157178635441
0.2,116,0.8121768068118351
0.2,117,0.8145687650204804
0.2,118,0.8178714418577971
0.2,119,0.8167811988235025
0.2,120,0.812262480875713
0.2,121,0.8129364006881161
0.2,122,0.8121245001290812
0.2,123,0.8119220597569069
0.2,124,0.8585314373822938
0.2,125,0.8600319092654236
0.2,126,0.85703432625166
0.2,127,0.8509824323589279
0.2,128,0.8169920091000317
0.2,129,0.8158089172850631
0.2,130,0.8137683175536041
0.2,131,0.7735254776528775
0.2,132,0.5487796977805329
0.2,133,0.015006304572397548
0.2,134,0.05505871698928404
0.2,135,0.10678963123692062
0.2,136,0.04697092580017361
0.2,137,0.016043381032676017
0.2,138,0.039190825103897244
0.2,139,0.0741123762368797
0.2,140,0.008654042973671184
0.2,141,0.05925299292355033
0.2,142,0.15877117947107758
0.2,143,0.06254152295198571
0.2,144,0.008572160268682759
0.2,145,0.01015721297899106
0.2,146,0.0014480663033098677
0.2,147,0.0023672559053051737
0.4,0,0.0035596549680025546
0.4,1,0.005670260436368835
0.4,2,0.022975938638297434
0.4,3,0.026264619812088556
0.4,4,0.023459595367492456
0.4,5,0.014008106928503499
0.4,6,0.13540054265904297
0.4,7,0.0852397736592877
0.4,8,0.057322306468846604
0.4,9,0.07775561408283298
0.4,10,0.03560239197934299
0.4,11,0.0011611771715512227
0.4,12,0.08551497704167457
0.4,13,0.09424576396872943
0.4,14,0.10090317217686155
0.4,15,0.12894742770258583
0.4,16,0.13759383900559471
0.4,17,0.663483274023705
0.4,18,0.9971639752544587
0.4,19,0.994150724866994
0.4,20,0.638339660086948
0.4,21,0.6775034513454125
0.4,22,0.2997318053735199
0.4,23,0.26259446507623285
0.4,24,0.001217732022345387
0.4,25,0.40716795069811607
0.4,26,0.9437776301061972
0.4,27,0.9361850802464305
0.4,28,0.59142349683901
0.4,29,0.0032860153548612495
0.4,30,0.1470322033481437
0.4,31,0.0688049240545365
0.4,32,0.43651141789484427
0.4,33,0.37649955868749074
0.4,34,0.044064111355010246
0.4,35,0.5616105497981463
0.4,36,0.6546921895738018
0.4,37,0.6613973951184521
0.4,38,0.47700051286095924
0.4,39,0.7160549286732649
0.4,40,0.7171230314243036
0.4,41,0.6286434540261009
0.4,42,0.37840367720703333
0.4,43,0.3763455662938661
0.4,44,0.38112164499149337
0.4,45,0.38157585151769335
0.4,46,0.37823181180743637
0.4,47,0.3730661179354512
0.4,48,0.3753160572357167
0.4,49,0.3756925208880558
0.4,50,0.40373280174420667
0.4,51,0.40231006967335947
0.4,52,0.37410084669279514
0.4,53,0.37442339468760105
0.4,54,0.3755922093556324
0.4,55,0.37534309198826915
0.4,56,0.3819456614751833
0.4,57,0.3867752879926473
0.4,58,0.38086772707648864
0.4,59,0.3884101929681285
0.4,60,0.39601566021299167
0.4,61,0.3874076244362933
0.4,62,0.38149677691124595
0.4,63,0.3586978235396249
0.4,64,0.2505819157926088
0.4,65,0.003986219524129187
0.4,66,0.013094725182545047
0.4,67,0.005811606573297682
0.4,68,0.004970743152808102
0.4,69,0.6689578960185555
0.4,70,0.9537486624523108
0.4,71,0.9999032851648763
0.4,72,0.9999828169178174
0.4,73,0.9992497836183895
0.4,74,0.9980679959846218
0.4,75,0.9989452718395799
0.4,76,0.9993745747870443
0.4,77,0.9999504101238732
0.4,78,0.9990224229722272
0.4,79,0.9988481461918571
0.4,80,0.999948713061419
0.4,81,0.9995690602034086
0.4,82,0.9999656905378289
0.4,83,0.9996892604410075
0.4,84,0.9999510815499572
0.4,85,0.9990223525242484
0.4,86,0.9988478535211642
0.4,87,0.9999574459284838
0.4,88,0.999272025152336
0.4,89,0.9988463447472036
0.4,90,0.9999509707444277
0.4,91,0.999569527437523
0.4,92,0.9999763405199595
0.4,93,0.99998971237129
